x,y,vx,vy
-0.00027924685947558264,0.00024577228666285904,-2.3550047782341807e-05,2.3248292914792185e-05
-0.00027927198953222503,0.0002457980816991086,-2.355008002902555e-05,2.324831819009321e-05
-0.000279297119593137,0.000245823876739193,-2.355011227722381e-05,2.3248343464703115e-05
-0.00027932224965831597,0.00024584967178311007,-2.355014452401489e-05,2.32483687379488e-05
-0.0002793473797277645,0.00024587546683086064,-2.3550176770962847e-05,2.3248394011985614e-05
-0.00027937250980148093,0.0002459012618824458,-2.355020901862086e-05,2.3248419286781508e-05
-0.0002793976398794652,0.0002459270569378654,-2.3550241264466538e-05,2.324844456122286e-05
-0.0002794227699617186,0.0002459528519971189,-2.355027351279351e-05,2.3248469835587057e-05
-0.0002794479000482464,0.000245978647060206,-2.3550305764882638e-05,2.3248495109867294e-05
-0.0002794730301390459,0.00024600444212712655,-2.3550338014912023e-05,2.324852038441339e-05
-0.0002794981602341176,0.00024603023719788064,-2.3550370264454696e-05,2.324854565739093e-05
-0.0002795232903334624,0.00024605603227246544,-2.355040251575155e-05,2.324857092870244e-05
-0.00027954842043707937,0.00024608182735088116,-2.35504347670483e-05,2.3248596200776436e-05
-0.0002795735505449694,0.00024610762243312866,-2.3550467015887127e-05,2.3248621472753236e-05
-0.0002795986806571329,0.00024613341751920795,-2.3550499267692652e-05,2.324864674551882e-05
-0.00027962381077357296,0.00024615921260911946,-2.3550531520361375e-05,2.324867201823174e-05
-0.00027964894089428866,0.0002461850077028617,-2.3550563774912242e-05,2.3248697290051296e-05
-0.00027967407101928046,0.0002462108028004344,-2.3550596027351528e-05,2.3248722560900776e-05
-0.00027969920114854704,0.00024623659790183714,-2.355062827911997e-05,2.324874783201622e-05
-0.0002797243312820906,0.0002462623930070704,-2.3550660533073198e-05,2.3248773103415794e-05
-0.00027974946141991327,0.00024628818811613345,-2.3550692788178567e-05,2.324879837432175e-05
-0.0002797745915620155,0.00024631398322902723,-2.3550725043721164e-05,2.3248823645635746e-05
-0.00027979972170839775,0.00024633977834575063,-2.3550757300159444e-05,2.3248848916148293e-05
-0.0002798248518590578,0.0002463655734663028,-2.355078955605071e-05,2.3248874186535153e-05
-0.0002798499820139992,0.00024639136859068477,-2.3550821811161745e-05,2.324889945669708e-05
-0.0002798751121732201,0.0002464171637188953,-2.355085406668349e-05,2.3248924726829488e-05
-0.00027990024233672276,0.000246442958850935,-2.3550886325664646e-05,2.324894999706537e-05
-0.0002799253725045093,0.0002464687539868041,-2.355091858316857e-05,2.3248975267423808e-05
-0.0002799505026765763,0.00024649454912650175,-2.3550950841507628e-05,2.3249000537506804e-05
-0.00027997563285292633,0.00024652034427002684,-2.3550983098091913e-05,2.3249025805791698e-05
-0.0002800007630335598,0.0002465461394173772,-2.3551015358297396e-05,2.3249051073044892e-05
-0.0002800258932184798,0.00024657193456855526,-2.3551047617863678e-05,2.324907634102649e-05
-0.0002800510234076824,0.00024659772972355967,-2.35510798766229e-05,2.3249101609586847e-05
-0.0002800761536011706,0.00024662352488239,-2.355111213572559e-05,2.3249126877281444e-05
-0.0002801012837989436,0.00024664932004504845,-2.3551144396042112e-05,2.3249152145478098e-05
-0.00028012641400100395,0.00024667511521153304,-2.3551176658015895e-05,2.3249177413963502e-05
-0.00028015154420735254,0.00024670091038184465,-2.3551208920419646e-05,2.3249202682347045e-05
-0.00028017667441798937,0.0002467267055559822,-2.3551241182135402e-05,2.3249227950045152e-05
-0.000280201804632914,0.0002467525007339459,-2.355127344449798e-05,2.3249253217261944e-05
-0.00028022693485212774,0.0002467782959157353,-2.3551305707998147e-05,2.32492784847718e-05
-0.000280252065075631,0.00024680409110134954,-2.3551337970934e-05,2.324930375132214e-05
-0.00028027719530342296,0.00024682988629078843,-2.3551370232621814e-05,2.324932901767369e-05
-0.000280302325535504,0.0002468556814840524,-2.3551402495863084e-05,2.3249354284237175e-05
-0.0002803274557718798,0.0002468814766811401,-2.355143476337439e-05,2.3249379549822538e-05
-0.00028035258601254685,0.000246907271882052,-2.3551467028809298e-05,2.3249404815785284e-05
-0.0002803777162575069,0.0002469330670867877,-2.3551499293784976e-05,2.324943008164853e-05
-0.00028040284650676086,0.0002469588622953482,-2.355153155976969e-05,2.3249455347912425e-05
-0.0002804279767603052,0.00024698465750773273,-2.3551563824693272e-05,2.3249480614057514e-05
-0.0002804531070181443,0.00024701045272394143,-2.355159609106741e-05,2.3249505880290878e-05
-0.00028047823728027683,0.0002470362479439741,-2.355162835733717e-05,2.324953114588025e-05
-0.00028050336754670497,0.00024706204316782884,-2.355166062534962e-05,2.3249556410231343e-05
-0.0002805284978174287,0.0002470878383955056,-2.3551692892308412e-05,2.324958167394334e-05
-0.00028055362809244894,0.0002471136336270046,-2.3551725161286212e-05,2.3249606938010884e-05
-0.00028057875837176564,0.00024713942886232473,-2.3551757429978196e-05,2.3249632201966383e-05
-0.00028060388865538055,0.00024716522410146735,-2.35517896996517e-05,2.3249657465913425e-05
-0.00028062901894329584,0.0002471910193444318,-2.3551821971320488e-05,2.3249682730177792e-05
-0.0002806541492355076,0.00024721681459121737,-2.3551854240027116e-05,2.324970799359756e-05
-0.0002806792795320163,0.0002472426098418248,-2.3551886507260004e-05,2.3249733257021772e-05
-0.00028070440983282274,0.00024726840509625226,-2.3551918776884125e-05,2.3249758519977755e-05
-0.00028072954013793,0.00024729420035450177,-2.3551951048255796e-05,2.3249783784422456e-05
-0.00028075467044733895,0.00024731999561657266,-2.355198332062663e-05,2.324980904717696e-05
