vx,vy,omega
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-0.12516049557588518,-0.12516049557588518,0.0
-0.1540488294159789,-0.1540488294159789,0.0
-0.1876536611547991,-0.1876536611547991,0.0
-0.21465023199746505,-0.21465023199746505,0.0
-0.23613436872802718,-0.23613436872802718,0.0
-0.26729640972467783,-0.26729640972467783,0.0
-0.2781596833317619,-0.2781596833317619,0.0
-0.2873169725132051,-0.2873169725132051,0.0
-0.29668214147003036,-0.29668214147003036,0.0
-0.30560701138841506,0.30560701138841506,0.0
-0.3122277301838439,0.3122277301838439,0.0
-0.31644525120349326,0.31644525120349326,0.0
-0.3267413564459195,0.3267413564459195,0.0
-0.3334149203093474,0.3334149203093474,0.0
-0.3404472185340536,0.3404472185340536,0.0
-0.34615687521484073,0.34615687521484073,0.0
-0.3463637386448395,0.3463637386448395,0.0
-0.34900547360407297,0.34900547360407297,0.0
-0.35543242368495986,0.35543242368495986,0.0
-0.36043313821462575,0.36043313821462575,0.0
-0.3643451119241511,0.3643451119241511,0.0
-0.3635194058528508,0.3635194058528508,0.0
-0.3550913109601453,0.3550913109601453,0.0
-0.3431074778501633,0.3431074778501633,0.0
-0.3379483058654399,0.3379483058654399,0.0
-0.3300467035404128,0.3300467035404128,0.0
-0.3180750843848034,0.3180750843848034,0.0
-0.3041221550316618,0.3041221550316618,0.0
-0.29127838834778197,0.29127838834778197,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-0.24240695631267642,0.24240695631267642,0.0
-0.2401089511634215,0.2401089511634215,0.0
-0.23782517987198482,0.23782517987198482,0.0
-0.22267645813569079,0.22267645813569079,0.0
-0.2024154958202146,0.2024154958202146,0.0
-0.18354332482459318,0.18354332482459318,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.23000000417232513,0.0,-0.3201923370361328
0.23000000417232513,0.0,-0.32000812888145447
0.23000000417232513,0.0,-0.3324252665042877
0.23000000417232513,0.0,-0.37569025158882147
0.23000000417232513,0.0,-0.35530996322631836
0.23000000417232513,0.0,-0.32474696636199957
0.23000000417232513,0.0,-0.28656670451164246
0.23000000417232513,0.0,-0.23812520503997803
0.23000000417232513,0.0,-0.2660748362541199
0.23000000417232513,0.0,-0.2205648273229599
0.23000000417232513,0.0,-0.36875185370445246
0.23000000417232513,0.0,-0.25281330943107605
0.23000000417232513,0.0,-0.23497024178504944
0.23000000417232513,0.0,-0.16044856607913974
0.23000000417232513,0.0,-0.3257942199707031
0.23000000417232513,0.0,-0.2510696053504944
0.23000000417232513,0.0,-0.20445749163627625
0.23000000417232513,0.0,-0.13962846994400027
0.23000000417232513,0.0,-0.15796276926994327
0.23000000417232513,0.0,-0.11590573936700821
0.23000000417232513,0.0,-0.18812757730484012
0.23000000417232513,0.0,-0.17176373302936554
0.23000000417232513,0.0,-0.15171828866004944
0.23000000417232513,0.0,-0.05654260143637657
0.23000000417232513,0.0,-0.22730451822280887
0.23000000417232513,0.0,-0.13140986859798431
0.23000000417232513,0.0,-0.11101398617029189
0.23000000417232513,0.0,-0.043066442012786865
0.23000000417232513,0.0,-0.06694257259368896
0.23000000417232513,0.0,-0.11991182714700699
0.23000000417232513,0.0,-0.07589443027973175
0.23000000417232513,0.0,-0.01496271416544914
0.23000000417232513,0.0,0.026485709473490715
0.23000000417232513,0.0,-0.01382691413164139
0.23000000417232513,0.0,-0.05926220118999481
0.23000000417232513,0.0,-0.08432412147521971
0.23000000417232513,0.0,0.015539418905973434
0.23000000417232513,0.0,0.024899182841181755
0.23000000417232513,0.0,0.10077185928821564
0.23000000417232513,0.0,0.007672423031181098
0.23000000417232513,0.0,0.011689456179738045
0.23000000417232513,0.0,0.04693826287984848
0.23000000417232513,0.0,0.09131500124931335
0.23000000417232513,0.0,0.06121529266238213
0.23000000417232513,0.0,0.08503375202417374
0.23000000417232513,0.0,0.08233370631933212
0.23000000417232513,0.0,0.10382050275802612
0.23000000417232513,0.0,0.10522768646478653
0.23000000417232513,0.0,0.12854453921318051
0.23000000417232513,0.0,0.10920807719230653
0.23000000417232513,0.0,0.19207188487052915
0.23000000417232513,0.0,0.1433998346328735
0.23000000417232513,0.0,0.1473680734634399
0.11604178696870804,-0.012701768428087234,0.07921323180198671
0.018359065055847168,0.11792962998151779,-0.22609055042266846
0.0,0.08347013592720032,-0.26226446032524114
0.0,0.13348105549812317,-0.37440362572669983
0.23000000417232513,0.0,0.10654415190219878
0.0,0.10444356501102448,-0.3757704198360443
0.0,0.025555556640028954,0.2141176462173462
0.0,-0.12777778506278992,0.05155794322490692
0.0,-0.12777778506278992,0.24067561328411102
0.0,-0.10313165932893753,0.05673435330390931
0.0,-0.10098236054182053,0.16758938133716583
0.0,-0.007428619544953108,0.26338392496109003
0.21195103228092194,0.0,0.14106817543506622
0.23000000417232513,0.0,0.10818816721439362
0.23000000417232513,0.0,0.11618411540985106
0.23000000417232513,0.0,0.09992115944623947
0.23000000417232513,0.0,0.12825915217399597
0.23000000417232513,0.0,0.12648148834705353
0.23000000417232513,0.0,0.11347615718841551
0.23000000417232513,0.0,0.1292504370212555
0.23000000417232513,0.0,0.1726643592119217
0.23000000417232513,0.0,0.19442522525787354
0.23000000417232513,0.0,0.1889357566833496
0.23000000417232513,0.0,0.12064623087644577
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
