times,x,y,vx,vy,radius
26.151,0.9870064204446993,0.04038516074667042,0.0,0.0,0.08399350599204738
26.176,0.9679290403144335,0.08051913735419858,0.0,0.0,0.19750797613571378
26.201,0.9643708919446479,0.07885700958029007,0.0,0.0,0.1924714308549542
26.226,0.9665995503113265,0.07206445725866681,0.0,0.0,0.1887236547827699
26.25,0.963742930102671,0.07791441872054289,0.0,0.0,0.19195575604214973
26.276,0.9548835631308523,0.07255144987133832,0.0,0.0,0.17589583077601698
26.301,0.9924246789750865,0.04404420665690861,0.0,0.0,0.0844459389077232
26.325,-1,-1,-1,-1,-1
26.351,0.9652836733610827,0.07625528136843301,0.0,0.0,0.18638320650141824
26.376,0.9625359538008513,0.07276715043344417,0.0,0.0,0.18146730201185654
26.401,0.9644622814013128,0.07818027687964196,0.0,0.0,0.18632671229139344
26.426,0.9656859310615791,0.07927096697640124,0.0,0.0,0.18758176177164607
26.451,0.9640934899786242,0.08124980831301759,0.0,0.0,0.18888071991017205
26.476,0.9691902438438877,0.07726922695698463,0.0,0.0,0.18741038177520872
26.501,0.9720281174105131,0.08164308735988607,0.0,0.0,0.19332641492058492
26.526,0.9657862695533788,0.07779220457794145,0.0,0.0,0.17934326625920097
26.551,0.9678687509937601,0.07974662135486726,0.0,0.0,0.18594777200313914
26.576,0.9685602599353065,0.07769739454700236,0.0,0.0,0.18387469373822937
26.601,1.0084040274859065,0.03868062396699429,0.0,0.0,0.10050767652104456
26.626,1.0100099748550027,0.04255935325029686,0.0,0.0,0.09817810172199762
26.65,0.9628838602076994,0.06907054887613939,0.0,0.0,0.18008812501561974
26.676,0.977029890996133,0.06784098600008848,0.0,0.0,0.18959461729877178
26.707,0.9692403618655541,0.06897616900404713,0.0,0.0,0.18788000607819674
26.731,1.010307528140023,0.03196902404574492,0.0,0.0,0.0986036968011251
26.756,0.9784589833336801,0.05869308982730864,0.0,0.0,0.1967926878154229
26.78,0.9693239957087317,0.056476761266451125,0.0,0.0,0.1883264171427754
26.806,1.0053246116610335,0.02034334054911968,0.0,0.0,0.09029414013617884
26.831,0.9729090271915366,0.04694047951721386,0.0,0.0,0.19185699527760644
26.856,1.0071409303943577,0.006182406344004021,0.0,0.0,0.09903606494030348
26.881,0.9726041862751578,0.029504690185751747,0.0,0.0,0.18990930435501643
26.906,0.967859051125613,0.02672121747841555,0.0,0.0,0.18922915269659688
26.931,0.9639392401735573,0.009458260198021484,0.0,0.0,0.17850760490585302
26.956,0.9635915585055981,0.009777587167264068,0.0,0.0,0.18287451534899382
26.981,0.9689933533170678,0.009033549678599873,0.0,0.0,0.18838143325742615
27.006,1.000812892415592,-0.031064172322896405,0.0,0.0,0.10280168027866776
27.03,0.9615662886158847,-0.0043216388122074845,0.0,0.0,0.18192033237107672
27.056,0.9585276174362756,-0.008582980054900324,0.0,0.0,0.17695123846544877
27.081,0.9690332328117067,-0.008204653140056528,0.0,0.0,0.1898966128611512
27.106,0.9610643980505715,-0.022148224600335997,0.0,0.0,0.17403765520787587
27.131,0.9605359244418739,-0.017481304247814078,0.0,0.0,0.1837768588360076
27.156,0.9921052261790133,-0.06252210548150056,0.0,0.0,0.08966062289483431
27.18,0.962492960182861,-0.03103235354089806,0.0,0.0,0.1796414550258121
27.206,0.9651376011910215,-0.02714949371703035,0.0,0.0,0.1883607598450545
27.23,0.9585404992795454,-0.03141749294890947,0.0,0.0,0.17721017694294297
27.256,0.9641390629370273,-0.030222677718038493,0.0,0.0,0.18835512953283504
