times,x,y,vx,vy,radius
24.859,0.9382675885950873,0.43645907226277214,0.00018656314908163142,-0.0010320342240601778,0.2937590230323811
24.959,0.9267305523424674,0.41054163566377405,-0.0004684959479513786,0.00013611476280974238,0.29371597812946887
25.059,-1,-1,-1,-1,-1
25.159,-1,-1,-1,-1,-1
25.259,-1,-1,-1,-1,-1
25.359,-1,-1,-1,-1,-1
25.459,-1,-1,-1,-1,-1
25.559,0.9399936418358458,0.22522860827968272,0.0008154562494103238,-0.00047231916357669127,0.2922706065843616
25.659,-1,-1,-1,-1,-1
25.759,0.955095538122035,0.15275606135074019,0.0009047838703875673,-0.0020000487424134683,0.2621215407287483
25.859,0.9597621116927901,0.13308928860839203,0.0031160316853038575,-0.01140672543589844,0.25110363475068864
25.967,0.9568947572595375,0.12128738220243077,-0.0003248927813880567,-0.02294651458614782,0.25578089840105084
26.059,-1,-1,-1,-1,-1
26.159,0.9709459496140377,0.08334616847503393,-0.002254636239557122,0.0016621326626353244,0.2713438098069207
26.259,0.971079126522772,0.07613266437261149,-0.002049766730531944,-0.0025534507314879076,0.2687528273019092
26.363,-1,-1,-1,-1,-1
26.459,0.9644880598399264,0.07662020776938673,-7.800132560356817e-05,3.577709813271724e-05,0.2854374045501398
26.559,0.9662120315767326,0.07812978618540442,0.0007588205953426785,0.0007635025140521462,0.28635754818013753
26.659,0.9752260946062326,0.0708176690746914,0.010433566043355273,-0.007233822805231179,0.27065550701727703
26.759,0.9775781395073061,0.06622564051473347,0.012501148525259347,-0.013345855208959406,0.2687827384155222
26.859,0.9797942908310777,0.05793156479407438,0.014271682275721705,-0.0261010799354179,0.26830277978491335
26.96,0.9800016223182706,0.041660742956552504,0.011957761475004965,-0.052014227875522484,0.26738821308788574
27.06,0.9784481674960321,0.02148864201300128,0.00682777037625126,-0.07994911094934189,0.26668509328754425
27.159,0.9729326084907288,0.0033360590207364184,-0.004337593796429916,-0.0982466193604418,0.26955502221525274
27.259,0.9714306460860204,-0.01798879464270901,-0.006189096151160433,-0.1181797515118216,0.2674703393468178
27.36,0.9726693594654138,-0.03925505058082157,-0.003079010691218684,-0.1339983329913418,0.26227615921692593
27.459,0.9687203409220044,-0.04881922111393568,-0.009006303725474389,-0.1277543440634007,0.2654401688028236
27.559,0.9681184221627565,-0.06996834294283008,-0.008530168912262012,-0.14110167948434288,0.26002984652935185
27.659,0.9658999972115747,-0.07064861711740637,-0.010674658277895476,-0.12000889028507411,0.26411516690602466
27.759,0.966721549469877,-0.07236620399828837,-0.007736498676729916,-0.10401434626287195,0.2643079836726769
27.859,0.9693793716279943,-0.07774914796087512,-0.0024310181596986285,-0.09625513848234689,0.2590416255901988
27.959,0.9723069381241263,-0.08174682138354379,0.0024546404303627256,-0.08758324214626094,0.25604832913904757
28.061,0.9693987411381887,-0.0784444772131539,-0.0023964336748831046,-0.06903109099336814,0.2602764387463707
28.16,0.9678577933906399,-0.07575903354186932,-0.004396678609241425,-0.05429245305350967,0.2643216068315742
28.259,0.9643183797065811,-0.07368097596474395,-0.009160392112203911,-0.042755171562501575,0.2663050287030124
28.359,0.9672966248643904,-0.07949757634543618,-0.0031752688248867346,-0.04512366143644472,0.2623244500379259
28.46,0.9664406110856224,-0.08018711762441395,-0.00400299409848779,-0.039247476186817155,0.265240738431976
28.559,0.9671262004290735,-0.09180562051815545,-0.0023335751876727984,-0.05107566808247425,0.2602631536728802
28.659,0.9647189094081097,-0.10956451870597746,-0.005676163119206494,-0.07052805130600567,0.2557782000125632
28.76,0.9582637839353118,-0.12458063936571574,-0.014729493071167957,-0.08277338647693558,0.25843851844176524
28.864,0.9528149312298482,-0.1457198286608663,-0.02084366659159727,-0.10255243510399646,0.2580417182209658
28.959,0.9462408210331535,-0.16796070282760478,-0.027748244798337963,-0.12098460690444529,0.25674404259180905
29.063,0.939268954316664,-0.18951985407054042,-0.034202777930073175,-0.13553398172055567,0.2578775058730244
29.159,0.9329090635846448,-0.21448459527792385,-0.03872355199500736,-0.15308326617074533,0.25641775405226047
29.263,0.9265285797632693,-0.23723409819091995,-0.04258074305575632,-0.1645268733445393,0.25583335461879664
29.359,0.9211996872398651,-0.2632292276854873,-0.04422752009968522,-0.1792018895430503,0.25290847100446917
29.459,0.9184419617394776,-0.28373432250886405,-0.041666943447470614,-0.18317711130584555,0.2536957681033254
29.559,0.9169173054003471,-0.3027659753583439,-0.0376038803798768,-0.1842750479079274,0.25365911360088644
29.659,0.9165031118329562,-0.3236598005355498,-0.032457948772115275,-0.18806786872059433,0.2525608553115219
29.761,0.9173111702765222,-0.34037374459504366,-0.026223764244645134,-0.18484940785185713,0.2520024538905591
29.859,0.9206142106462988,-0.3607112555317011,-0.017111428608029045,-0.18769836204306173,0.2508290894585023
29.959,0.9236767311965374,-0.38400167578816063,-0.00977031271663786,-0.19465028314978935,0.25008127508640954
30.059,0.9287358870201409,-0.40884187704871416,-0.00048764777341401915,-0.20291641683288414,0.2508852947192595
30.159,0.9321335666247237,-0.4371369579291848,0.004812415982008001,-0.2152243879785049,0.24861483464641734
30.259,0.9410611938313171,-0.4579837079660643,0.017801563469132357,-0.214185290146774,0.2526790941371951
30.359,0.9485899125528624,-0.48491643871703644,0.026641903391103804,-0.22266522209676728,0.2547782310811181
30.459,0.9572938021690981,-0.510540604098792,0.0359299637628384,-0.2278287229695879,0.25993400985850745
30.559,0.9606107909999917,-0.5412357311940915,0.035505509716921374,-0.2399964648214742,0.2610043666026123
30.662,0.967624029733009,-0.5673370961163468,0.040830552063887006,-0.24322856094633222,0.2650791643582397
30.759,0.9723435766641236,-0.5968548325035022,0.04180937132177825,-0.25121742973319666,0.26678857856707117
30.866,0.9735644458038004,-0.6299875070376316,0.037257275052572834,-0.2635369209621836,0.26879149367539906
30.959,0.9779000579800609,-0.6587314453077039,0.0381951770785387,-0.2672127253160255,0.2721380567069759
31.059,0.9792508381432395,-0.6884502045326604,0.034398665917975975,-0.27182236545760396,0.27101746738361576
31.159,0.9637705466283661,-0.7333920685622956,0.00320006069876105,-0.0004138767926581115,0.26036335289607393
31.26,0.9759557156276348,-0.7654719710831008,-0.0007881789268464953,-0.0005140968895642882,0.2937407877828452
31.359,-1,-1,-1,-1,-1
31.459,1.0030967447368018,-0.8024172910462674,-0.0004483605019352319,-0.00130648263532481,0.2948299879026325
31.559,0.9593108345379635,-0.8547126121277995,-0.002940751395826511,-0.001284879383303282,0.2383291517783196
31.66,-1,-1,-1,-1,-1
31.759,-1,-1,-1,-1,-1
31.859,-1,-1,-1,-1,-1
31.959,0.9745346405845559,-0.9532943294647225,0.0012277181140669716,-0.001387224696320498,0.22637295677516253
32.059,0.9908296406269322,-0.9880517371114155,-0.0007600396674694868,-0.0005233895245978702,0.29586348400432033
32.16,1.0094179133986774,-1.0121715010019714,0.00207011179687668,-0.0005138002425423684,0.2957454911923695
32.259,0.9997657052685927,-1.0481362888758663,-0.0005246968176488765,-0.00018828194202244382,0.2925136901886143
32.36,1.001787765358237,-1.0539295473903496,9.096117867070526e-05,-0.001901959060503408,0.27334407716278636
32.459,1.0172115882062827,-1.060668033614721,0.012812122322925588,-0.007306002727111974,0.2628701090329378
32.56,1.027968069202687,-1.071593937123283,0.02602954690415082,-0.021527831675434407,0.253885843649951
32.659,1.0469240044507693,-1.090183136356494,0.054739793683525814,-0.05038456270068776,0.24364810802038808
32.759,1.0631848150888563,-1.1076637527589261,0.07513386699242755,-0.07390827596877902,0.23686433837164145
32.859,1.0856253717844035,-1.139979627715172,0.10299942007546621,-0.12043753975164431,0.22287167139985223
32.959,1.1104057489077226,-1.168121347425704,0.12950728958689284,-0.1499064591384487,0.2123276922408146
33.059,1.1370076534276,-1.2021616369103927,0.15365026336023238,-0.18359696755370472,0.1984159087508387
33.159,-1,-1,-1,-1,-1
33.259,-1,-1,-1,-1,-1
33.36,-1,-1,-1,-1,-1
33.459,-1,-1,-1,-1,-1
33.559,-1,-1,-1,-1,-1
33.659,-1,-1,-1,-1,-1
33.759,-1,-1,-1,-1,-1
33.859,-1,-1,-1,-1,-1
